variety_exposure,.value,.lower,.upper,.width,.point,.interval
Variety Match - Variety Mismatch,0.049,-0.024,0.127,0.95,median,qi
Variety Match - Variety Mismatch Social,0.021,-0.049,0.095,0.95,median,qi
Variety Match - Dialect Literacy,0.024,-0.058,0.124,0.95,median,qi
Variety Mismatch - Variety Mismatch Social,-0.028,-0.1,0.044,0.95,median,qi
Variety Mismatch - Dialect Literacy,-0.025,-0.105,0.065,0.95,median,qi
Variety Mismatch Social - Dialect Literacy,0.003,-0.069,0.087,0.95,median,qi
Variety Match - Variety Mismatch,0.049,-0.012,0.113,0.9,median,qi
Variety Match - Variety Mismatch Social,0.021,-0.037,0.082,0.9,median,qi
Variety Match - Dialect Literacy,0.024,-0.045,0.105,0.9,median,qi
Variety Mismatch - Variety Mismatch Social,-0.028,-0.088,0.031,0.9,median,qi
Variety Mismatch - Dialect Literacy,-0.025,-0.091,0.049,0.9,median,qi
Variety Mismatch Social - Dialect Literacy,0.003,-0.058,0.071,0.9,median,qi
Variety Match - Variety Mismatch,0.049,0.002,0.099,0.8,median,qi
Variety Match - Variety Mismatch Social,0.021,-0.024,0.068,0.8,median,qi
Variety Match - Dialect Literacy,0.024,-0.03,0.085,0.8,median,qi
Variety Mismatch - Variety Mismatch Social,-0.028,-0.074,0.018,0.8,median,qi
Variety Mismatch - Dialect Literacy,-0.025,-0.077,0.031,0.8,median,qi
Variety Mismatch Social - Dialect Literacy,0.003,-0.044,0.054,0.8,median,qi
